,distance,physical_error_probability,gamma
0,3,1e-05,1.0
1,3,1.6681005372000593e-05,1.0
2,3,2.782559402207126e-05,1.0
3,3,4.641588833612782e-05,1.0
4,3,7.742636826811278e-05,1.0
5,3,0.0001291549665014884,1.0003000900270071
6,3,0.00021544346900318823,1.0005002499194393
7,3,0.00035938136638046257,1.0011509858973404
8,3,0.0005994842503189409,1.0034115994377328
9,3,0.001,1.0100236592915801
10,3,0.0011,1.0121001889336645
11,3,0.0013282051282051282,1.0173194854050065
12,3,0.0015564102564102566,1.0225699301180404
13,3,0.0017846153846153847,1.029124215292494
14,3,0.002012820512820513,1.036509416489409
15,3,0.002241025641025641,1.0460251046025104
16,3,0.0024692307692307696,1.0551378309427148
17,3,0.0026974358974358975,1.0666666666664637
18,3,0.0029256410256410254,1.076580576841158
19,3,0.0031538461538461538,1.0870259227350982
20,3,0.003382051282051282,1.0996261271166439
21,3,0.0036102564102564105,1.1166981644636678
22,3,0.003838461538461539,1.1308454055235597
23,3,0.004066666666666666,1.1410420188004504
24,3,0.004294871794871795,1.1549282477802647
25,3,0.004523076923076923,1.1695374333750956
26,3,0.004751282051282051,1.1840051223184964
27,3,0.00497948717948718,1.2046012286641437
28,3,0.005207692307692308,1.2249304775788057
29,3,0.005435897435897436,1.2389211529384911
30,3,0.005664102564102564,1.2683078298138841
31,3,0.005892307692307692,1.2923295439341829
32,3,0.006120512820512821,1.3152522700684681
33,3,0.006348717948717949,1.3284688950246146
34,3,0.006576923076923077,1.3701659069572727
35,3,0.006805128205128205,1.3852334118298935
36,3,0.007033333333333333,1.4142739051743518
37,3,0.007261538461538462,1.4403239698232468
38,3,0.00748974358974359,1.4694683947096054
39,3,0.007717948717948718,1.522070015220475
40,3,0.007946153846153846,1.526241794883854
41,3,0.008174358974358973,1.547075069378716
42,3,0.008402564102564103,1.578691316883409
43,3,0.00863076923076923,1.6130716975386843
44,3,0.00885897435897436,1.6708437761069275
45,3,0.009087179487179487,1.6946280291473343
46,3,0.009315384615384616,1.7270404191326172
47,3,0.009543589743589743,1.7686593562076576
48,3,0.009771794871794871,1.8077361429611292
49,3,0.01,1.866716445771629
50,5,1e-05,1.0
51,5,1.6681005372000593e-05,1.0
52,5,2.782559402207126e-05,1.0
53,5,4.641588833612782e-05,1.0
54,5,7.742636826811278e-05,1.0
55,5,0.0001291549665014884,1.0
56,5,0.00021544346900318823,1.0
57,5,0.00035938136638046257,1.0003000900270074
58,5,0.0005994842503189409,1.0005002501250626
59,5,0.001,1.0027053011576943
60,5,0.0011,1.0047221943132723
61,5,0.0013282051282051282,1.0070366405351927
62,5,0.0015564102564102566,1.010735028273043
63,5,0.0017846153846153847,1.0172939979651607
64,5,0.002012820512820513,1.0241742716384052
65,5,0.002241025641025641,1.0303692768728028
66,5,0.0024692307692307696,1.0416017849349786
67,5,0.0026974358974358975,1.0570824524312896
68,5,0.0029256410256410254,1.070549191735021
69,5,0.0031538461538461538,1.0837287827812363
70,5,0.003382051282051282,1.1029742195066903
71,5,0.0036102564102564105,1.121046904504119
72,5,0.003838461538461539,1.146920518407828
73,5,0.004066666666666666,1.176609012825032
74,5,0.004294871794871795,1.2020675561965564
75,5,0.004523076923076923,1.236589396652418
76,5,0.004751282051282051,1.2779552715654872
77,5,0.00497948717948718,1.3147515119642361
78,5,0.005207692307692308,1.3504388926400999
79,5,0.005435897435897436,1.397819401733291
80,5,0.005664102564102564,1.452432824981837
81,5,0.005892307692307692,1.5195259079165215
82,5,0.006120512820512821,1.5448787270197357
83,5,0.006348717948717949,1.6436554898091522
84,5,0.006576923076923077,1.7064846416380557
85,5,0.006805128205128205,1.793721973094121
86,5,0.007033333333333333,1.872659176029956
87,5,0.007261538461538462,2.0128824476650498
88,5,0.00748974358974359,2.0597322348094664
89,5,0.007717948717948718,2.1092596498628904
90,5,0.007946153846153846,2.33045910044278
91,5,0.008174358974358973,2.387204583432794
92,5,0.008402564102564103,2.6007802340702155
93,5,0.00863076923076923,2.6688017080330866
94,5,0.00885897435897436,2.957704821058854
95,5,0.009087179487179487,3.1555695803092405
96,5,0.009315384615384616,3.2051282051282026
97,5,0.009543589743589743,3.4164673727365855
98,5,0.009771794871794871,3.7091988130563758
99,5,0.01,4.096681687832854
100,7,1e-05,1.0
101,7,1.6681005372000593e-05,1.0
102,7,2.782559402207126e-05,1.0
103,7,4.641588833612782e-05,1.0
104,7,7.742636826811278e-05,1.0
105,7,0.0001291549665014884,1.0
106,7,0.00021544346900318823,1.0
107,7,0.00035938136638046257,1.0
108,7,0.0005994842503189409,1.0001000100007582
109,7,0.001,1.0011012113324653
110,7,0.0011,1.0013011911391256
111,7,0.0013282051282051282,1.0027073097359809
112,7,0.0015564102564102566,1.0049241282283186
113,7,0.0017846153846153847,1.007150770470275
114,7,0.002012820512820513,1.013023048276233
115,7,0.002241025641025641,1.0200884527628389
116,7,0.0024692307692307696,1.0301844030081386
117,7,0.0026974358974358975,1.03845442180688
118,7,0.0029256410256410254,1.0537526771307657
119,7,0.0031538461538461538,1.074113856068648
120,7,0.003382051282051282,1.0934937124110315
121,7,0.0036102564102564105,1.1169068529639399
122,7,0.003838461538461539,1.1510128913442605
123,7,0.004066666666666666,1.1788970501275535
124,7,0.004294871794871795,1.2238404112100636
125,7,0.004523076923076923,1.2681086015807832
126,7,0.004751282051282051,1.3358268768367538
127,7,0.00497948717948718,1.3871506540224225
128,7,0.005207692307692308,1.4786337424217637
129,7,0.005435897435897436,1.5649452269169029
130,7,0.005664102564102564,1.6675004168750416
131,7,0.005892307692307692,1.788588803434068
132,7,0.006120512820512821,1.8968133535659983
133,7,0.006348717948717949,2.0263424518743576
134,7,0.006576923076923077,2.1815008726003415
135,7,0.006805128205128205,2.3934897079942488
136,7,0.007033333333333333,2.617115938236058
137,7,0.007261538461538462,2.9850746268656665
138,7,0.00748974358974359,3.2061558191728077
139,7,0.007717948717948718,3.45423143350604
140,7,0.007946153846153846,3.933910306845001
141,7,0.008174358974358973,4.522840343735864
142,7,0.008402564102564103,5.178663904712582
143,7,0.00863076923076923,5.945303210463685
