,distance,physical_error_probability,gamma
0,3,1e-05,1.0000000000000004
1,3,1.6681005372000593e-05,1.0000000000000004
2,3,2.782559402207126e-05,1.0000500025001244
3,3,4.641588833612782e-05,1.0000500025001244
4,3,7.742636826811278e-05,1.0001125100008985
5,3,0.0001291549665014884,1.0001625150014364
6,3,0.00021544346900318823,1.0004501525513927
7,3,0.00035938136638046257,1.0008380685123022
8,3,0.0005994842503189409,1.0024666851209516
9,3,0.001,1.0071657433583847
10,3,0.0011,1.0085188915662633
11,3,0.0013282051282051282,1.0115696448916809
12,3,0.0015564102564102566,1.0152666542496165
13,3,0.0017846153846153847,1.019756717534059
14,3,0.002012820512820513,1.0247690214677438
15,3,0.002241025641025641,1.0310783714523475
16,3,0.0024692307692307696,1.0370425260616802
17,3,0.0026974358974358975,1.0448043301745191
18,3,0.0029256410256410254,1.0507776787194918
19,3,0.0031538461538461538,1.0588597423830974
20,3,0.003382051282051282,1.0673233965511835
21,3,0.0036102564102564105,1.0774467164446397
22,3,0.003838461538461539,1.0895443029992666
23,3,0.004066666666666666,1.101096513932026
24,3,0.004294871794871795,1.1062666683247229
25,3,0.004523076923076923,1.120774774936652
26,3,0.004751282051282051,1.1343445812386752
27,3,0.00497948717948718,1.153436014447108
28,3,0.005207692307692308,1.162314856528141
29,3,0.005435897435897436,1.1750852885615526
30,3,0.005664102564102564,1.1895563141432728
31,3,0.005892307692307692,1.2028833567378703
32,3,0.006120512820512821,1.2181584438349893
33,3,0.006348717948717949,1.2340363080557362
34,3,0.006576923076923077,1.2601144794555403
35,3,0.006805128205128205,1.276323380062496
36,3,0.007033333333333333,1.2948068415179101
37,3,0.007261538461538462,1.3160511175862097
38,3,0.00748974358974359,1.3373039904080684
39,3,0.007717948717948718,1.360214972047778
40,3,0.007946153846153846,1.3798852490768942
41,3,0.008174358974358973,1.4026428651694038
42,3,0.008402564102564103,1.423462139628815
43,3,0.00863076923076923,1.4559506934221533
44,3,0.00885897435897436,1.480442063319031
45,3,0.009087179487179487,1.4981819636607492
46,3,0.009315384615384616,1.5422938889308733
47,3,0.009543589743589743,1.5678799010515956
48,3,0.009771794871794871,1.5943455602675285
49,3,0.01,1.6266516024765378
50,5,1e-05,1.0005877907641592
51,5,1.6681005372000593e-05,1.0008255040462375
52,5,2.782559402207126e-05,1.0011511160286832
53,5,4.641588833612782e-05,1.0021531394035907
54,5,7.742636826811278e-05,1.0025940745456365
55,5,0.0001291549665014884,1.003687968146963
56,5,0.00021544346900318823,1.006818207545554
57,5,0.00035938136638046257,1.011044104669302
58,5,0.0005994842503189409,1.0173430156683345
59,5,0.001,1.0312233091157836
60,5,0.0011,1.0356100670923172
61,5,0.0013282051282051282,1.0426884074812421
62,5,0.0015564102564102566,1.053011528870148
63,5,0.0017846153846153847,1.0642028014439877
64,5,0.002012820512820513,1.0799671910958044
65,5,0.002241025641025641,1.0918862971320742
66,5,0.0024692307692307696,1.110768215556378
67,5,0.0026974358974358975,1.1287771170393859
68,5,0.0029256410256410254,1.1526617256401603
69,5,0.0031538461538461538,1.1789619768399284
70,5,0.003382051282051282,1.2095045476821036
71,5,0.0036102564102564105,1.2350892806022138
72,5,0.003838461538461539,1.2751731495549492
73,5,0.004066666666666666,1.3068903863945853
74,5,0.004294871794871795,1.357933782272054
75,5,0.004523076923076923,1.4082642116646291
76,5,0.004751282051282051,1.4687163210049086
77,5,0.00497948717948718,1.5196210209430225
78,5,0.005207692307692308,1.5892203241897565
79,5,0.005435897435897436,1.6809742368722738
80,5,0.005664102564102564,1.7647026469435783
81,5,0.005892307692307692,1.862153794163881
82,5,0.006120512820512821,1.9684830685760164
83,5,0.006348717948717949,2.1008210211236404
84,5,0.006576923076923077,2.2537528500304744
85,5,0.006805128205128205,2.3926201923938306
86,5,0.007033333333333333,2.573810770282569
87,5,0.007261538461538462,2.779265306371351
88,5,0.00748974358974359,3.0452680433365096
89,5,0.007717948717948718,3.3329445625366962
90,5,0.007946153846153846,3.6138335129652273
91,5,0.008174358974358973,3.827993777917589
92,5,0.008402564102564103,4.2615142318754895
93,5,0.00863076923076923,4.622381986348191
94,5,0.00885897435897436,5.05285505697629
95,5,0.009087179487179487,5.5610724141397
96,5,0.009315384615384616,6.285092991817196
97,5,0.009543589743589743,7.317323129119938
98,5,0.009771794871794871,8.116421914249281
99,5,0.01,9.192404806316409
100,7,1e-05,1.0004501625558937
101,7,1.6681005372000593e-05,1.0007004903432366
102,7,2.782559402207126e-05,1.0011887519610523
103,7,4.641588833612782e-05,1.0020656213245707
104,7,7.742636826811278e-05,1.002443241328625
105,7,0.0001291549665014884,1.0039025457922526
106,7,0.00021544346900318823,1.0062383531750971
107,7,0.00035938136638046257,1.0112104441353358
108,7,0.0005994842503189409,1.0164397071867488
109,7,0.001,1.0293329413836882
110,7,0.0011,1.0307542568668548
111,7,0.0013282051282051282,1.0393471563171313
112,7,0.0015564102564102566,1.0469261182914755
113,7,0.0017846153846153847,1.057317524261705
114,7,0.002012820512820513,1.0642082379712037
115,7,0.002241025641025641,1.074719122129079
116,7,0.0024692307692307696,1.0883245802489543
117,7,0.0026974358974358975,1.1066073744947824
118,7,0.0029256410256410254,1.1215775143291296
119,7,0.0031538461538461538,1.1399259267234172
120,7,0.003382051282051282,1.162784475259132
121,7,0.0036102564102564105,1.1882333487609489
122,7,0.003838461538461539,1.2142899238661546
123,7,0.004066666666666666,1.255791553588451
124,7,0.004294871794871795,1.299926242341684
125,7,0.004523076923076923,1.349825783297291
126,7,0.004751282051282051,1.40160224064758
127,7,0.00497948717948718,1.4650763983147133
128,7,0.005207692307692308,1.560590731361436
