,distance,physical_error_probability,gamma
0,3,1e-05,1.0041727293312135
1,3,1.6681005372000593e-05,1.0042552691392364
2,3,2.782559402207126e-05,1.0034062491526803
3,3,4.641588833612782e-05,1.0036833911957488
4,3,7.742636826811278e-05,1.0045601772229202
5,3,0.0001291549665014884,1.0068470056203538
6,3,0.00021544346900318823,1.0122829800381274
7,3,0.00035938136638046257,1.0168091120383633
8,3,0.0005994842503189409,1.030165803102743
9,3,0.001,1.0469874844091183
10,3,0.0011,1.0545238490536244
11,3,0.0014564102564102565,1.078011771167693
12,3,0.0018128205128205128,1.1114959259257324
13,3,0.002169230769230769,1.1368198365698226
14,3,0.0025256410256410257,1.1760760909918124
15,3,0.002882051282051282,1.2309589426477263
16,3,0.003238461538461538,1.26913599419831
17,3,0.0035948717948717946,1.3458863532561345
18,3,0.003951282051282051,1.4128808295751825
19,3,0.0043076923076923075,1.476071934084302
20,3,0.004664102564102564,1.5596644300061047
21,3,0.00502051282051282,1.6391221512843523
22,3,0.005376923076923077,1.7300767750219412
23,3,0.005733333333333333,1.832527478976042
24,3,0.00608974358974359,1.965393992562725
25,3,0.006446153846153846,2.1129228618711564
26,3,0.006802564102564103,2.287172480212885
27,3,0.007158974358974359,2.4501690811193395
28,3,0.007515384615384616,2.5870440436592963
29,3,0.007871794871794872,2.8537275529815473
30,3,0.008228205128205128,3.124819240308206
31,3,0.008584615384615385,3.3719910048287347
32,3,0.00894102564102564,3.5708634594421813
33,3,0.009297435897435898,4.445083218345026
34,3,0.009653846153846153,4.548819638164142
35,3,0.01001025641025641,5.288662911117758
36,3,0.010366666666666666,4.952106097993454
37,3,0.010723076923076924,6.294464490565382
38,3,0.01107948717948718,6.831144693560608
39,3,0.011435897435897437,6.322155513083187
40,3,0.011792307692307692,7.406150467882217
41,3,0.01214871794871795,7.38781626640197
42,3,0.012505128205128205,10.803248536835028
43,3,0.01286153846153846,10.079492922462244
44,3,0.013217948717948718,10.67216357287199
45,3,0.013574358974358974,14.001838395628507
46,3,0.013930769230769231,13.691914929337626
47,3,0.014287179487179487,18.838429250909925
48,3,0.014643589743589744,21.461102621558467
49,3,0.015,26.9427399419384
50,5,1e-05,1.003011216724678
51,5,1.6681005372000593e-05,1.0025302033192118
52,5,2.782559402207126e-05,1.0028784028519584
53,5,4.641588833612782e-05,1.0047467443450642
54,5,7.742636826811278e-05,1.0041886018070583
55,5,0.0001291549665014884,1.006790175707388
56,5,0.00021544346900318823,1.0122482131415518
57,5,0.00035938136638046257,1.0137655652096131
58,5,0.0005994842503189409,1.0211156567895154
59,5,0.001,1.0367712225833445
60,5,0.0011,1.0418137936534424
61,5,0.0014564102564102565,1.0521428065956735
62,5,0.0018128205128205128,1.0786499877289701
63,5,0.002169230769230769,1.1065109732226834
64,5,0.0025256410256410257,1.125224472100314
65,5,0.002882051282051282,1.1672101308355831
66,5,0.003238461538461538,1.206201527054005
67,5,0.0035948717948717946,1.2622628218859444
68,5,0.003951282051282051,1.3341544579615612
69,5,0.0043076923076923075,1.3877368797992877
70,5,0.004664102564102564,1.5144963357869796
71,5,0.00502051282051282,1.6120127402692837
72,5,0.005376923076923077,1.7373954165262924
73,5,0.005733333333333333,1.9269329706340845
74,5,0.00608974358974359,2.0750047179108715
75,5,0.006446153846153846,2.4803718243982535
76,5,0.006802564102564103,2.715347415125029
77,5,0.007158974358974359,3.009962781216705
78,5,0.007515384615384616,3.80923386517939
79,5,0.007871794871794872,4.0132495705714994
80,5,0.008228205128205128,4.588340726204164
81,5,0.008584615384615385,5.8051697939600135
82,5,0.00894102564102564,6.916186064053985
83,5,0.009297435897435898,8.076296341481036
84,5,0.009653846153846153,10.477358127170556
85,5,0.01001025641025641,16.617989804863253
86,5,0.010366666666666666,16.964566148048053
87,5,0.010723076923076924,29.434597139001134
88,5,0.01107948717948718,28.508666118147282
89,5,0.011435897435897437,124.49036755781022
90,5,0.011792307692307692,83.48639171814995
91,5,0.01214871794871795,44.61038416202955
92,5,0.012505128205128205,444.691495275153
93,5,0.01286153846153846,20202.020202020176
94,5,0.013217948717948718,448.43049327354254
95,5,0.013574358974358974,194.9762091593165
96,5,0.013930769230769231,920.1660213985926
97,5,0.014287179487179487,450.0956453246315
98,5,0.014643589743589744,397.5108131073522
99,5,0.015,1484.2300556586263
