,distance,physical_error_probability,gamma
0,3,1e-05,1.0
1,3,1.6681005372000593e-05,1.0
2,3,2.782559402207126e-05,1.0
3,3,4.641588833612782e-05,1.0
4,3,7.742636826811278e-05,1.0
5,3,0.0001291549665014884,1.0
6,3,0.00021544346900318823,1.0001000100009991
7,3,0.00035938136638046257,1.0001000100009991
8,3,0.0005994842503189409,1.000250045008497
9,3,0.001,1.001050775598979
10,3,0.0011,1.0018523079051946
11,3,0.0013282051282051282,1.0025062656639045
12,3,0.0015564102564102566,1.0021534611046017
13,3,0.0017846153846153847,1.003814495080886
14,3,0.002012820512820513,1.0058338362502517
15,3,0.002241025641025641,1.00573267625418
16,3,0.0024692307692307696,1.006745192791369
17,3,0.0026974358974358975,1.0086746015735326
18,3,0.0029256410256410254,1.0081964190401216
19,3,0.0031538461538461538,1.011442776092903
20,3,0.003382051282051282,1.0131190610975742
21,3,0.0036102564102564105,1.014603991123227
22,3,0.003838461538461539,1.0150588055680188
23,3,0.004066666666666666,1.0180836883576763
24,3,0.004294871794871795,1.0193760781250303
25,3,0.004523076923076923,1.0247400587395519
26,3,0.004751282051282051,1.0241704219581098
27,3,0.00497948717948718,1.0240602671102357
28,3,0.005207692307692308,1.0293360782293484
29,3,0.005435897435897436,1.0322375121591887
30,3,0.005664102564102564,1.0319856422351215
31,3,0.005892307692307692,1.0359118778495577
32,3,0.006120512820512821,1.0402135773645973
33,3,0.006348717948717949,1.042495542524131
34,3,0.006576923076923077,1.045698891904913
35,3,0.006805128205128205,1.0471352230336528
36,3,0.007033333333333333,1.0486879480521654
37,3,0.007261538461538462,1.0540978429089272
38,3,0.00748974358974359,1.054546457494865
39,3,0.007717948717948718,1.064308707545941
40,3,0.007946153846153846,1.0656349021627154
41,3,0.008174358974358973,1.0698934672062452
42,3,0.008402564102564103,1.0736897045632645
43,3,0.00863076923076923,1.0759818272881017
44,3,0.00885897435897436,1.080390867569036
45,3,0.009087179487179487,1.0865351468744409
46,3,0.009315384615384616,1.0847447522751366
47,3,0.009543589743589743,1.0867869744234497
48,3,0.009771794871794871,1.0972537943774423
49,3,0.01,1.1021176751519102
50,5,1e-05,1.0
51,5,1.6681005372000593e-05,1.0
52,5,2.782559402207126e-05,1.0
53,5,4.641588833612782e-05,1.0
54,5,7.742636826811278e-05,1.0
55,5,0.0001291549665014884,1.0
56,5,0.00021544346900318823,1.0
57,5,0.00035938136638046257,1.0
58,5,0.0005994842503189409,1.0
59,5,0.001,1.0003000900270058
60,5,0.0011,1.0002000400075928
61,5,0.0013282051282051282,1.0005502150895362
62,5,0.0015564102564102566,1.0007003501840988
63,5,0.0017846153846153847,1.0010507755989793
64,5,0.002012820512820513,1.0009005803962814
65,5,0.002241025641025641,1.0020028341994351
66,5,0.0024692307692307696,1.0031096398832435
67,5,0.0026974358974358975,1.0050686192416434
68,5,0.0029256410256410254,1.004263794119402
69,5,0.0031538461538461538,1.0050251256278935
70,5,0.003382051282051282,1.0064305184547733
71,5,0.0036102564102564105,1.0096930533115271
72,5,0.003838461538461539,1.0102257556372745
73,5,0.004066666666666666,1.013376570733127
74,5,0.004294871794871795,1.0142995626638922
75,5,0.004523076923076923,1.0175761466368372
76,5,0.004751282051282051,1.0203040506066503
77,5,0.00497948717948718,1.022808632504605
78,5,0.005207692307692308,1.0241704219580645
79,5,0.005435897435897436,1.0315659170621005
80,5,0.005664102564102564,1.0321828299043871
81,5,0.005892307692307692,1.033164583118002
82,5,0.006120512820512821,1.0403662089052024
83,5,0.006348717948717949,1.0474437635858633
84,5,0.006576923076923077,1.047998323202458
85,5,0.006805128205128205,1.0569707219110034
86,5,0.007033333333333333,1.0570824524311169
87,5,0.007261538461538462,1.066904805945547
88,5,0.00748974358974359,1.073398442429988
89,5,0.007717948717948718,1.080725983922395
90,5,0.007946153846153846,1.0886131069017768
91,5,0.008174358974358973,1.089865208538811
92,5,0.008402564102564103,1.0987570183592419
93,5,0.00863076923076923,1.1085836353785172
94,5,0.00885897435897436,1.1192554986602272
95,5,0.009087179487179487,1.1332728921124116
96,5,0.009315384615384616,1.129438033549094
97,5,0.009543589743589743,1.1396144611983616
98,5,0.009771794871794871,1.1535355865726178
99,5,0.01,1.1587185373478495
100,7,1e-05,1.0
101,7,1.6681005372000593e-05,1.0
102,7,2.782559402207126e-05,1.0
103,7,4.641588833612782e-05,1.0
104,7,7.742636826811278e-05,1.0
105,7,0.0001291549665014884,1.0
106,7,0.00021544346900318823,1.0
107,7,0.00035938136638046257,1.0
108,7,0.0005994842503189409,1.0001000100009991
109,7,0.001,1.0
110,7,0.0011,1.0
111,7,0.0013282051282051282,1.0
112,7,0.0015564102564102566,1.0001000100009991
113,7,0.0017846153846153847,1.000200040007965
114,7,0.002012820512820513,1.0002500450084972
115,7,0.002241025641025641,1.0005502150895362
116,7,0.0024692307692307696,1.001001001000982
117,7,0.0026974358974358975,1.0010010010010009
118,7,0.0029256410256410254,1.0019526286517126
119,7,0.0031538461538461538,1.0021032253730513
120,7,0.003382051282051282,1.0043185698503567
121,7,0.0036102564102564105,1.0042177144004818
122,7,0.003838461538461539,1.0052704511774608
123,7,0.004066666666666666,1.0062770251661615
124,7,0.004294871794871795,1.006441223832332
125,7,0.004523076923076923,1.009260714642098
126,7,0.004751282051282051,1.0119409026508939
127,7,0.00497948717948718,1.0154346060108126
128,7,0.005207692307692308,1.0168802115110838
129,7,0.005435897435897436,1.018793651458938
130,7,0.005664102564102564,1.0248001639680262
131,7,0.005892307692307692,1.0284777434962136
132,7,0.006120512820512821,1.0349824052989156
133,7,0.006348717948717949,1.0380982040899442
134,7,0.006576923076923077,1.042698908225087
135,7,0.006805128205128205,1.0505305179114328
136,7,0.007033333333333333,1.0582010582009678
137,7,0.007261538461538462,1.062621784413761
138,7,0.00748974358974359,1.0692205994774904
139,7,0.007717948717948718,1.0746029166255473
140,7,0.007946153846153846,1.08839238703123
141,7,0.008174358974358973,1.0983241498321172
142,7,0.008402564102564103,1.114578689255289
143,7,0.00863076923076923,1.1184431271669342
144,7,0.00885897435897436,1.13235348211563
145,7,0.009087179487179487,1.1460512286822995
