distance,physical_error_probability,gamma
3,1e-05,1.0042587325484744
3,1.6681005372000593e-05,1.0042579076736333
3,2.782559402207126e-05,1.0062779941149862
3,4.641588833612782e-05,1.0086728113575247
3,7.742636826811278e-05,1.0140448291178907
3,0.0001291549665014884,1.0166737012169178
3,0.00021544346900318823,1.0329674301266965
3,0.00035938136638046257,1.0504023791662331
3,0.0005994842503189409,1.092277372411181
3,0.001,1.1635040203427043
3,0.0011,1.1581037796605893
3,0.0014564102564102565,1.2688427107682554
3,0.0018128205128205128,1.3334584117426256
3,0.002169230769230769,1.396901066084719
3,0.0025256410256410257,1.5292148450088878
3,0.002882051282051282,1.5966608902622563
3,0.003238461538461538,1.782292919841376
3,0.0035948717948717946,1.9508255405981423
3,0.003951282051282051,2.1415958958456254
3,0.0043076923076923075,2.2496508430747233
3,0.004664102564102564,2.4667665900784677
3,0.00502051282051282,2.702609680567001
3,0.005376923076923077,3.0427199660890563
3,0.005733333333333333,3.2401125939126376
3,0.00608974358974359,3.5062990662725597
3,0.006446153846153846,4.212397507103155
3,0.006802564102564103,4.117131329073278
3,0.007158974358974359,4.679479080388771
3,0.007515384615384616,5.3168581621748086
3,0.007871794871794872,6.595185844093104
3,0.008228205128205128,7.9947234825015485
3,0.008584615384615385,7.484072384545112
3,0.00894102564102564,12.10481559826538
3,0.009297435897435898,9.608361074967739
3,0.009653846153846153,13.11673235963457
3,0.01001025641025641,14.918414918414918
3,0.010366666666666666,16.59733351030184
3,0.010723076923076924,18.48719299705129
3,0.01107948717948718,24.92180782793984
3,0.011435897435897437,49.73577867578488
3,0.011792307692307692,19.82638186714692
3,0.01214871794871795,61.07989249938923
3,0.012505128205128205,106.32076976237303
3,0.01286153846153846,86.70958791268343
3,0.013217948717948718,149.10907328710954
3,0.013574358974358974,52.509287580240766
3,0.013930769230769231,219.23814743765422
3,0.014287179487179487,104.46496671138453
3,0.014643589743589744,165.43965588551578
3,0.015,447.8280340349306
5,1e-05,1.0045769124923831
5,1.6681005372000593e-05,1.0055566012795574
5,2.782559402207126e-05,1.009558407738673
5,4.641588833612782e-05,1.0099382786208497
5,7.742636826811278e-05,1.0170812499301192
5,0.0001291549665014884,1.0231452247770383
5,0.00021544346900318823,1.0533384322821708
5,0.00035938136638046257,1.080423482788314
5,0.0005994842503189409,1.1261795571661746
5,0.001,1.2270301778059869
5,0.0011,1.2648248158350592
5,0.0014564102564102565,1.3743069544373467
5,0.0018128205128205128,1.4746369737935687
5,0.002169230769230769,1.6705067440445385
5,0.0025256410256410257,1.8065590740300803
5,0.002882051282051282,2.0038242163794324
5,0.003238461538461538,2.154026644005711
5,0.0035948717948717946,2.5378517089797166
5,0.003951282051282051,3.039407578899202
5,0.0043076923076923075,3.3045970032047935
5,0.004664102564102564,3.8511343997766327
5,0.00502051282051282,4.481039601187477
5,0.005376923076923077,5.454466116856484
5,0.005733333333333333,5.577198946098642
5,0.00608974358974359,7.263949316418305
5,0.006446153846153846,12.076200827219758
5,0.006802564102564103,11.641487533490531
5,0.007158974358974359,21.90340597962984
5,0.007515384615384616,16.12340557563251
5,0.007871794871794872,120.0048001920077
5,0.008228205128205128,21.274558818836493
5,0.008584615384615385,123.61321425260364
5,0.00894102564102564,96.0084487434894
5,0.009297435897435898,281.25439459991566
5,0.009653846153846153,63.86715631486507
5,0.01001025641025641,92.04924634679553
5,0.010366666666666666,228.84604382401733
5,0.010723076923076924,93.75718862639786
5,0.01107948717948718,1739.8869073510177
5,0.011435897435897437,802.5682182985552
5,0.011792307692307692,708.089927420782
5,0.01214871794871795,462.1072088724587
5,0.012505128205128205,155.5052190101161
5,0.01286153846153846,980.632507967638
5,0.013217948717948718,150.62106322344948
5,0.013574358974358974,182.82948130711122
5,0.013930769230769231,177.767143664775
5,0.014287179487179487,225.009844180683
5,0.014643589743589744,7079.646017699042
5,0.015,161.1798364024661
7,1e-05,1.0056011556345175
7,1.6681005372000593e-05,1.0065837382714362
7,2.782559402207126e-05,1.0121339328662464
7,4.641588833612782e-05,1.0162615827151396
7,7.742636826811278e-05,1.0246443989015914
7,0.0001291549665014884,1.0447255569660356
7,0.00021544346900318823,1.067229309958877
7,0.00035938136638046257,1.1083596083832996
7,0.0005994842503189409,1.200759119915611
7,0.001,1.332757137997339
7,0.0011,1.3660472508471586
7,0.0014564102564102565,1.5639925680750162
7,0.0018128205128205128,1.7207120822810102
7,0.002169230769230769,1.979718646167807
7,0.0025256410256410257,2.174310091407996
7,0.002882051282051282,2.374527023898427
7,0.003238461538461538,3.0316942426034448
7,0.0035948717948717946,3.3203535180390653
7,0.003951282051282051,3.9232109912679127
7,0.0043076923076923075,4.510281258083852
7,0.004664102564102564,5.874871120014805
7,0.00502051282051282,7.450468355066967
7,0.005376923076923077,7.198210802014698
7,0.005733333333333333,10.998831374166494
7,0.00608974358974359,14.549528413410298
7,0.006446153846153846,22.318386908857335
7,0.006802564102564103,30.37782418834251
7,0.007158974358974359,136.63535439795044
7,0.007515384615384616,125.61236025624925
7,0.007871794871794872,104.29975750306386
7,0.008228205128205128,87.31526316767008
7,0.008584615384615385,123.71178293820681
7,0.00894102564102564,113.61742104380359
7,0.009297435897435898,74.08093341976108
7,0.009653846153846153,916.3802978235964
7,0.01001025641025641,134.77543043903094
7,0.010366666666666666,3546.0992907801415
7,0.010723076923076924,536.9848301785471
7,0.01107948717948718,270.7642320449468
7,0.011435897435897437,1175.162140117513
7,0.011792307692307692,548.471136706431
7,0.01214871794871795,1029.3360782295397
7,0.012505128205128205,115.4609622317682
7,0.01286153846153846,100.24083026037651
7,0.013217948717948718,314.22442670840474
7,0.013574358974358974,308.44323568627874
7,0.013930769230769231,99.07229242986432
7,0.014287179487179487,2470.6609017912306
7,0.014643589743589744,326.84815987263005
7,0.015,161.50522873178022
